gvkey,fyr,curcdq,fqtr,fyearq,datadate,accdq,accoq,acoq,acoxq,actq,adpacq,amq,ancq,aoq,aotq,apoq,apq,artfsq,atq,autxrq,bcefq,bctq,bdiq,capcstq,capr1q,capr2q,capr3q,capsq,caq,ceqq,cfbdq,cfereq,cfoq,cfpdoq,cheq,chq,chsq,cltq,cogsq,cstkq,dfpacq,dfxaq,ditq,dlcq,dlttq,dpactq,dpq,dptbq,dptcq,dvpdpq,dvrreq,dvtq,eqrtq,eroq,esubq,fcaq,feaq,felq,gdwlamq,gdwlq,gpq,iatiq,ibkiq,ibmiiq,ibq,iditq,iireq,iitq,intanq,intcq,invtq,iobdq,ioiq,ioreq,ipq,iptiq,isgtq,istq,ivaeqq,ivaoq,iviq,ivptq,ivstq,ivtfsq,lcabgq,lcacuq,lcoq,lcoxq,lctq,lltq,loq,lseq,lsq,ltmibq,ltq,mibnq,mibq,mibtq,miiq,mtlq,nitq,nopioq,nopiq,oiadpq,oibdpq,oproq,pclq,piq,ppentq,prcq,pstkq,ptranq,pvoq,pvtq,ratiq,rawmsmq,reccoq,rectoq,rectq,rectrq,reitq,req,revtq,risq,rltq,rvlrvq,rvtiq,rvutxq,saaq,saleq,salq,sbdcq,scoq,scq,sctq,seqq,spiq,ssnpq,stkchq,tdsgq,tdstq,teqq,transaq,tstkq,txdbq,txtq,unnpq,xagtq,xbdtq,xcomiq,xcomq,xdvreq,xintq,xioq,xiq,xiviq,xivreq,xobdq,xoiq,xoproq,xoprq,xoreq,xppq,xretq,xsgaq,xsq,xstoq,xstq,xtq,conm
103342,3,GBP,3,2019,2019-12-31,1330.8000,,1477.8000,1361.2000,3476.1000,,12.7000,17555.6000,4740.9000,,,413.2000,,21031.7000,,,,,,,,,875.6000,,4920.1000,,,,,427.3000,,,,1368.1500,523.1000,,-36.7500,,1966.9000,8205.5000,10784.1000,-24.0500,,,,,291.0500,3521.4000,1114.2000,38.3500,,,,,340.9000,516.4500,,,177.7000,177.7000,17.3000,,,674.7000,,174.0000,,,,,,,,1849.4000,947.7000,,,,,,,2828.1000,1497.3000,5208.2000,10903.4000,2052.1000,21031.7000,,16111.6000,16111.6000,,,,0.0000,,,-18.4000,-54.8500,284.2000,260.1500,10.4000,,229.3500,12814.7000,,,,,,,,86.9000,86.9000,1397.0000,1310.1000,,2407.2000,1884.6000,,,,,,,1874.2000,,,,,523.1000,4920.1000,-11.9000,,,,,4920.1000,,,645.8000,51.6500,,,,,,,92.1000,,-64.2500,,,,,0.0000,1624.4500,,116.6000,,256.3000,,,5.5000,,SSE PLC
103342,3,GBP,4,2019,2020-03-31,1330.8000,,1477.8000,1361.2000,3476.1000,,12.7000,17555.6000,4740.9000,,,413.2000,,21031.7000,,,,,,,,,875.6000,,4920.1000,,,,,427.3000,,,,1442.2000,523.1000,,-110.8000,,1966.9000,8205.5000,10784.1000,-98.1000,,,,,415.1500,3521.4000,1114.2000,38.3500,,,,,340.9000,442.4000,,,177.7000,200.9500,17.3000,,,674.7000,,174.0000,,,,,,,,1849.4000,947.7000,,,,,,,2828.1000,1497.3000,5208.2000,10903.4000,2052.1000,21031.7000,,16111.6000,16111.6000,,,,-23.2500,,,-97.7000,-134.1500,363.5000,265.4000,10.4000,,229.3500,12814.7000,,,,,,,,86.9000,86.9000,1397.0000,1310.1000,,2407.2000,1884.6000,,,,,,,1874.2000,,,,,523.1000,4920.1000,-91.2000,,,,,4920.1000,,,645.8000,51.6500,,,,,,,92.1000,,9.8000,,,,,0.0000,1619.2000,,116.6000,,177.0000,,,5.5000,,SSE PLC
103342,3,GBP,1,2020,2020-06-30,,,1216.5000,1216.5000,3302.7000,,,17048.5000,3955.6000,,,304.8000,,20351.2000,,,,,,,,,878.0000,,5194.5000,,,,,415.5000,,,,695.4000,524.1000,,145.0000,,1363.5000,8691.6000,,145.0000,,,,,127.1500,3792.4000,1391.5000,5.8000,,,,,,736.7500,,,350.0500,326.7500,20.7500,,,813.7000,,165.1000,,,,,,,,1697.2000,739.9000,,,,,,,2009.5000,2009.5000,3677.8000,11478.9000,2123.9000,20351.2000,,15156.7000,15156.7000,,,,23.3000,,,155.2500,87.0500,302.6500,447.6500,23.9500,,389.7000,13092.9000,,,,,,,,24.4000,24.4000,1505.6000,1481.2000,,2400.9000,1432.1500,,,,,,,1408.2000,,,,,524.1000,5194.5000,163.5000,,,,,5194.5000,,,663.4000,39.6500,,,,,,,94.7500,,23.0000,,,,,0.0000,984.5000,,,,289.1000,,,2.4000,,SSE PLC
103342,3,GBP,2,2020,2020-09-30,,,1216.5000,1216.5000,3302.7000,,,17048.5000,3955.6000,,,304.8000,,20351.2000,,,,,,,,,878.0000,,5194.5000,,,,,415.5000,,,,695.4000,524.1000,,145.0000,,1363.5000,8691.6000,,145.0000,,,,,127.1500,3792.4000,1391.5000,5.8000,,,,,,736.7500,,,350.0500,326.7500,20.7500,,,813.7000,,165.1000,,,,,,,,1697.2000,739.9000,,,,,,,2009.5000,2009.5000,3677.8000,11478.9000,2123.9000,20351.2000,,15156.7000,15156.7000,,,,23.3000,,,155.2500,87.0500,302.6500,447.6500,23.9500,,389.7000,13092.9000,,,,,,,,24.4000,24.4000,1505.6000,1481.2000,,2400.9000,1432.1500,,,,,,,1408.2000,,,,,524.1000,5194.5000,163.5000,,,,,5194.5000,,,663.4000,39.6500,,,,,,,94.7500,,23.0000,,,,,0.0000,984.5000,,,,289.1000,,,2.4000,,SSE PLC
103342,3,GBP,3,2020,2020-12-31,1284.3000,,1372.9000,1184.9000,4520.9000,,16.4500,17070.7000,3816.4000,,,433.3000,,21591.6000,,,,,,,,,847.1000,,6681.1000,,,,,1606.7000,,,,1093.5500,524.5000,,116.6500,,937.6000,8473.0000,11326.3000,133.1000,,,,,295.2500,5309.5000,1388.4000,15.9000,,,,,329.2000,1021.8500,,,746.8000,746.8000,18.4500,,,696.2000,,234.9000,,,,,,,,1643.5000,673.8000,,,,,,,2138.3000,854.0000,3509.2000,11401.3000,2154.0000,21591.6000,,14910.5000,14910.5000,,,,0.0000,,,294.1500,237.2000,582.1000,715.2000,110.4000,,819.3000,13254.3000,,,,,,,,136.4000,136.4000,1306.4000,1170.0000,,3921.1000,2115.4000,,,,,,,2005.0000,,,,,524.5000,6681.1000,-131.3000,,,,,6681.1000,,,774.3000,72.5000,,,,,,,91.3000,,41.5500,,,,,0.0000,1400.2000,,188.0000,,306.6500,,,2.5000,,SSE PLC
103342,3,GBP,4,2020,2021-03-31,1284.3000,,1372.9000,1184.9000,4520.9000,,16.4500,17070.7000,3816.4000,,,433.3000,,21591.6000,,,,,,,,,847.1000,,6681.1000,,,,,1606.7000,,,,1093.5500,524.5000,,116.6500,,937.6000,8473.0000,11326.3000,133.1000,,,,,295.2500,5309.5000,1388.4000,15.9000,,,,,329.2000,1021.8500,,,746.8000,746.8000,18.4500,,,696.2000,,234.9000,,,,,,,,1643.5000,673.8000,,,,,,,2138.3000,854.0000,3509.2000,11401.3000,2154.0000,21591.6000,,14910.5000,14910.5000,,,,0.0000,,,294.1500,237.2000,582.1000,715.2000,110.4000,,819.3000,13254.3000,,,,,,,,136.4000,136.4000,1306.4000,1170.0000,,3921.1000,2115.4000,,,,,,,2005.0000,,,,,524.5000,6681.1000,-131.3000,,,,,6681.1000,,,774.3000,72.5000,,,,,,,91.3000,,41.5500,,,,,0.0000,1400.2000,,188.0000,,306.6500,,,2.5000,,SSE PLC
103342,3,GBP,1,2021,2021-06-30,,,1673.5000,1673.5000,4034.3000,,,19374.0000,5470.6000,,,610.0000,,23408.3000,,,,,,,,,838.2000,,7086.8000,,,,,232.7000,,,,409.4500,535.6000,,183.5000,,2066.8000,7043.6000,,183.5000,,,,,135.9000,5713.0000,1028.7000,-14.3000,,,,,,1366.9500,,,571.9000,546.5500,18.4500,,,893.6000,,456.3000,,,,,,,,1103.7000,764.5000,,,,,,,2894.9000,2894.9000,5571.7000,10749.8000,2338.0000,23408.3000,,16321.5000,16321.5000,,,,25.3500,,,43.5500,-46.3500,889.4000,1072.9000,4.6500,,843.0500,13903.4000,,,,,,,,42.4000,42.4000,1671.8000,1629.4000,,4684.3000,1776.4000,,,,,,,1771.7500,,,,,535.6000,7086.8000,78.9500,,,,,7086.8000,,,1368.2000,271.1500,,,,,,,94.0500,,-46.9000,,,,,0.0000,703.5000,,,,294.0500,,,2.4000,,SSE PLC
103342,3,GBP,2,2021,2021-09-30,,,1673.5000,1673.5000,4034.3000,,,19374.0000,5470.6000,,,610.0000,,23408.3000,,,,,,,,,838.2000,,7086.8000,,,,,232.7000,,,,409.4500,535.6000,,183.5000,,2066.8000,7043.6000,,183.5000,,,,,135.9000,5713.0000,1028.7000,-14.3000,,,,,,1366.9500,,,571.9000,546.5500,18.4500,,,893.6000,,456.3000,,,,,,,,1103.7000,764.5000,,,,,,,2894.9000,2894.9000,5571.7000,10749.8000,2338.0000,23408.3000,,16321.5000,16321.5000,,,,25.3500,,,43.5500,-46.3500,889.4000,1072.9000,4.6500,,843.0500,13903.4000,,,,,,,,42.4000,42.4000,1671.8000,1629.4000,,4684.3000,1776.4000,,,,,,,1771.7500,,,,,535.6000,7086.8000,78.9500,,,,,7086.8000,,,1368.2000,271.1500,,,,,,,94.0500,,-46.9000,,,,,0.0000,703.5000,,,,294.0500,,,2.4000,,SSE PLC
103342,3,GBP,3,2021,2021-12-31,1422.7000,,3491.9000,3401.1000,6936.8000,,22.7000,18818.7000,4205.9000,,,919.7000,,25755.5000,,,,,,,,,835.1000,,9128.8000,,,,,1138.0000,,,,1449.0500,536.5000,,89.1500,,1190.8000,7873.9000,11376.4000,111.8500,,,,,321.3000,7757.2000,1184.3000,69.2000,,,,,512.0000,1158.8500,,,725.6000,725.6000,18.8500,,,926.7000,,266.6000,,,,,,,,1239.5000,882.0000,,,,,,,2547.7000,1125.0000,4658.2000,11927.9000,2409.9000,25755.5000,,16586.1000,16586.1000,40.6000,,40.6000,0.0000,,,107.8500,109.0500,786.0500,897.9000,31.0500,,895.1000,14612.8000,,,,,,,,113.7000,113.7000,2040.3000,1926.6000,,6572.9000,2607.9000,,,,,,,2576.8500,,,,,536.5000,9128.8000,71.4000,,,,,9169.4000,,,1644.1000,169.5000,,,,,,,86.8500,,288.2500,,,,,0.0000,1710.0000,,90.8000,,260.9500,,,,,SSE PLC
103342,3,GBP,4,2021,2022-03-31,1422.7000,,3491.9000,3401.1000,6936.8000,,22.7000,18824.6000,4205.9000,,,919.7000,,25761.4000,,,,,,,,,835.1000,,9133.2000,,,,,1138.0000,,,,1341.3000,536.5000,,149.5500,,1190.8000,7873.9000,11376.4000,172.2500,,,,,458.9000,7761.6000,1184.3000,69.2000,,,,,512.0000,1222.1000,,,727.8000,727.8000,23.0500,,,926.7000,,266.6000,,,,,,,,1239.5000,882.0000,,,,,,,2547.7000,1125.0000,4658.2000,11929.4000,2409.9000,25761.4000,,16587.6000,16587.6000,40.6000,,40.6000,0.0000,,,116.7500,122.1500,775.9000,948.1500,31.0500,,898.0500,14618.7000,,,,,,,,113.7000,113.7000,2040.3000,1926.6000,,6577.3000,2563.4000,,,,,,,2532.3500,,,,,536.5000,9133.2000,83.9500,,,,,9173.8000,,,1645.6000,170.2500,,,,,,,86.8500,,288.2500,,,,,0.0000,1615.2500,,90.8000,,273.9500,,,4.2000,,SSE PLC
