gvkey,fyr,curcdq,fqtr,fyearq,datadate,accliy,acqdisny,acqdisoy,adpacy,amy,aolochy,apalchy,apchy,aqcy,asdisy,asinvy,atochy,autxry,bcefy,bcty,bdiy,capcsty,capfly,capxfiy,capxy,cfbdy,cferey,cflaothy,cfoy,cfpdoy,chechy,chenfdy,cogsy,dcsfdy,dcufdy,dfxay,dispochy,dity,dlcchy,dltisy,dltry,docy,dpcy,dpy,dvpdpy,dvrecy,dvrrey,dvty,dvy,eieacy,eqdivpy,esuby,exresy,exreuy,exrey,fcay,fiaoy,fincfy,finincy,finley,finrey,finvaoy,fopoy,fsrcopoy,fsrcopty,fsrcoy,fsrcty,fuseoy,fusety,gdwlamy,gpy,ibcy,ibkiy,ibmiiy,iby,idity,iirey,iity,intandy,intanpy,intcy,intfacty,intfly,intiacty,intoacty,intpdy,intrcy,invchy,invdspy,invsvcy,iobdy,ioiy,iorey,iptiy,isgty,ivacoy,ivchy,iviy,ivncfy,ivstchy,liqresny,liqresoy,lndepy,lnincy,lnmdy,lnrepy,ltdchy,ltdlchy,ltloy,micy,miiy,miseqy,ncfliqy,neqmiy,nity,noasuby,nopioy,nopiy,oancfcy,oancfdy,oancfy,oiadpy,oibdpy,opprfty,oproy,pcly,piy,pliachy,prosaiy,prstkcy,prvy,psfixy,ptrany,purtshry,pvoy,rawmsmy,recchy,reity,revty,risy,rvy,saley,shrcapy,sivy,spiy,sppchy,sppivy,sstky,stfixay,stinvy,stkchy,subdisy,subpury,tdsgy,txdcy,txopy,txty,txy,wcapchcy,wcapchy,wcapopcy,wcapsay,wcapsuy,wcapsy,wcapty,wcapuy,xagty,xbdty,xcomiy,xcomy,xdvrey,xidocy,xinty,xioy,xiviy,xivrey,xiy,xobdy,xoiy,xoproy,xopry,xorey,xrety,xsgay,xstoy,xsty,xsy,xty,conm
103342,3,GBP,3,2019,2019-12-31,,,,,12.7000,-10.0000,,-326.0500,14.5000,,,,,,,,,,,628.9000,,,-37.5000,,,-399.5000,,2886.1500,,,541.3500,,,,,,,554.0500,554.0500,,,,539.2500,593.5500,-115.5500,,115.5500,,,,,3.4000,-584.4000,,,,,258.0500,,,,,,,,2054.2500,288.4000,,288.4000,241.9000,54.4000,,,,276.3000,,,,,-40.4000,,,115.0500,,,,,,,,-23.9500,,,-722.5500,,,,,,,,285.2500,,,,46.5000,,,,,,-273.4000,-385.7500,,,944.9500,744.0000,1298.0500,,14.0000,,358.2500,,,,,,,284.5500,,,323.4500,,4940.4000,,,4926.4000,,221.1000,-197.8000,,-28.5000,5.0500,,,,,,,,-73.5500,69.8500,,,,102.4500,,,,,,,,,,,,282.3000,,,,-414.3500,,,0.0000,3642.3500,,,756.2000,,12.4000,,,SSE PLC
103342,3,GBP,4,2019,2020-03-31,,,,,26.9000,-3.0000,,-269.2000,29.0000,,,,,,,,,,,814.1000,,,,,,-362.2000,,4254.3000,,,503.1000,,,,,,,530.0000,530.0000,,,,830.3000,649.5000,-153.9000,,153.9000,,,,,3.7000,-650.2000,,,,,668.5000,,,,,,,,2570.7000,466.1000,,466.1000,419.6000,71.7000,,,,396.8000,11.2000,,,,-59.5000,,,122.5000,,,,,,,,-186.2000,,,-1012.2000,,,,,,,,352.1000,,,,46.5000,,,,,,-291.8000,-440.6000,,,1300.2000,1028.2000,1558.2000,,24.4000,,587.6000,,,,,,,366.6000,,,155.0000,,6825.0000,,,6800.6000,,413.9000,-209.7000,,-60.5000,10.1000,,,,,,,,-95.8000,121.5000,,,,5.3000,,,,,,,,,,,,385.6000,,,,-478.6000,,,0.0000,5266.8000,,,1012.5000,,17.9000,,,SSE PLC
103342,3,GBP,1,2020,2020-06-30,,,,,,3.6500,,17.6500,,,,,,,,,,,,153.9000,,,,,,125.7000,,695.4000,,,145.0000,,,,,,,145.0000,145.0000,,,,127.1500,301.6000,-28.4000,,5.8000,,,,,-2.1000,-221.3500,,,,,-34.4500,,,,,,,,736.7500,350.0500,,350.0500,326.7500,20.7500,,,,46.4500,,,,,-34.4000,,,2.1500,,,,,,,,-38.7500,,,-22.5500,,,,,,,,-69.1500,,,,23.3000,,,,,,155.2500,87.0500,,,369.6000,302.6500,447.6500,,23.9500,,389.7000,,,,,,,375.7000,,,137.9000,,1432.1500,,,1408.2000,,216.5500,163.5000,,-179.6000,527.2000,,,,,,,,-9.9500,39.6500,,,,161.3500,,,,,,,,,,,,94.7500,,,,23.0000,,,0.0000,984.5000,,,289.1000,,2.4000,,,SSE PLC
103342,3,GBP,2,2020,2020-09-30,,,,,,7.3000,,35.3000,,,,,,,,,,,,307.8000,,,,,,251.4000,,1390.8000,,,290.0000,,,,,,,290.0000,290.0000,,,,254.3000,603.2000,-56.8000,,11.6000,,,,,-4.2000,-442.7000,,,,,-68.9000,,,,,,,,1473.5000,700.1000,,700.1000,653.5000,41.5000,,,,92.9000,6.1000,,,,-68.8000,,,4.3000,,,,,,,,-77.5000,,,-45.1000,,,,,,,,-138.3000,,,,46.6000,,,,,,310.5000,174.1000,,,739.2000,605.3000,895.3000,,47.9000,,779.4000,,,,,,,751.4000,,,275.8000,,2864.3000,,,2816.4000,,433.1000,327.0000,,-359.2000,1054.4000,,,,,,,,-19.9000,79.3000,,,,322.7000,,,,,,,,,,,,195.6000,,,,46.0000,,,0.0000,1969.0000,,,578.2000,,4.8000,,,SSE PLC
103342,3,GBP,3,2020,2020-12-31,,,,,16.4500,21.7000,,227.6500,,,,,,,,,,,,646.4000,,,0.2500,,,843.7500,,2484.3500,,,406.6500,,,,,,,423.1000,423.1000,,,,676.6500,723.6000,-94.4000,,49.2000,,,,,118.4000,-634.0000,,,,,-34.6500,,,,,,,,2495.3500,1471.0500,,1471.0500,1424.4500,57.5000,,,,142.6000,,,,,-83.2000,,,-33.7000,,,,,,,,-186.9000,,,199.3000,,,,,,,,-329.5500,,,,46.6000,,,,,,700.1500,526.0500,,,1278.2000,1096.8000,1519.9000,,158.3000,,1622.8500,,,,,,,757.1500,,,215.5500,,4979.7000,,,4821.4000,,1175.2000,286.3000,,-793.5500,1057.9000,,,,,,,,-41.3500,151.8000,,,,431.2000,,,,,,,,,,,,280.8000,,,,63.4000,,,0.0000,3459.8000,,,975.4500,,7.3000,,,SSE PLC
103342,3,GBP,4,2020,2021-03-31,,,,,32.9000,36.1000,,420.0000,,,,,,,,,,,,985.0000,,,,,,1435.6000,,3577.9000,,,523.3000,,,,,,,556.2000,556.2000,,,,844.8000,844.0000,-132.0000,,43.4000,,,,,241.0000,-825.3000,,,,,47.9000,,,,,,,,3517.2000,2193.7000,,2193.7000,2147.1000,78.4000,,,,192.3000,14.2000,,,,-97.6000,,,-71.7000,,,,,,,,-296.3000,,,443.7000,,,,,,,,-520.8000,,,,46.6000,,,,,,898.8000,648.5000,,,1817.2000,1769.5000,2325.7000,,268.7000,,2418.0000,,,,,,,762.9000,,,155.3000,,7095.1000,,,6826.4000,,1917.3000,64.4000,,-1227.9000,1061.4000,,,,,,,,-62.8000,224.3000,,,,539.7000,,,,,,,,,,,,386.3000,,,,129.1000,,,0.0000,4769.4000,,,1191.5000,,9.8000,,,SSE PLC
103342,3,GBP,1,2021,2021-06-30,,,,,,3.5000,,21.4500,,,,,,,,,,,,260.0000,,,,,,-683.7500,,409.4500,,,183.5000,,,,,,,183.5000,183.5000,,,,135.9000,156.8500,54.8500,,-14.3000,,,,,0.5000,-564.2000,,,,,-379.9500,,,,,,,,1366.9500,571.9000,,571.9000,546.5500,18.4500,,,,37.1500,,,,,-29.2000,,,6.3500,,,,,,,,-169.0000,,,-463.6500,,,,,,,,-195.2000,,,,25.3500,,,,,,43.5500,-46.3500,,,344.1000,889.4000,1072.9000,,4.6500,,843.0500,,,,,-2.5000,,213.7500,,,-79.5500,,1776.4000,,,1771.7500,,,78.9500,,10.7500,1.1000,,,,,,,,-19.5000,271.1500,,,,-48.2500,,,,,,,,,,,,94.0500,,,,-46.9000,,,0.0000,703.5000,,,294.0500,,2.4000,,,SSE PLC
103342,3,GBP,2,2021,2021-09-30,,,,,,7.0000,,42.9000,,,,,,,,,,,,520.0000,,,,,,-1367.5000,,818.9000,,,367.0000,,,,,,,367.0000,367.0000,,,,271.8000,313.7000,109.7000,,-28.6000,,,,,1.0000,-1128.4000,,,,,-759.9000,,,,,,,,2733.9000,1143.8000,,1143.8000,1093.1000,36.9000,,,,74.3000,11.6000,,,,-58.4000,,,12.7000,,,,,,,,-338.0000,,,-927.3000,,,,,,,,-390.4000,,,,50.7000,,,,,,87.1000,-92.7000,,,688.2000,1778.8000,2145.8000,,9.3000,,1686.1000,,,,,-5.0000,,427.5000,,,-159.1000,,3552.8000,,,3543.5000,,,157.9000,,21.5000,2.2000,,,,,,,,-39.0000,542.3000,,,,-96.5000,,,,,,,,,,,,199.7000,,,,-93.8000,,,0.0000,1407.0000,,,588.1000,,4.8000,,,SSE PLC
103342,3,GBP,3,2021,2021-12-31,,,,,22.7000,34.1500,,293.5500,72.6500,,,,,,,,,,,896.8000,,,,,,-959.2000,,2267.9500,,,456.1500,,,,,,,478.8500,478.8500,,,,593.1000,435.5000,40.5000,,40.6000,,,,,6.1000,-1281.1500,,,,,-1057.6000,,,,,,,,3892.7500,1869.4000,,1869.4000,1818.7000,55.7500,,,,128.2500,,,,,-77.4500,,,-5.8500,,,,,,,,-495.4000,,,-836.1000,,,,,,,,-422.2000,,,,50.7000,,,,,,194.9500,16.3500,,,1158.0500,2564.8500,3043.7000,,40.3500,,2581.2000,,,,,-2.5000,,433.8000,,,-392.3500,,6160.7000,,,6120.3500,,754.5000,229.3000,,40.1000,4.2500,,,,,,,,-65.2500,711.8000,,,,-70.5000,,,,,,,,,,,,274.9500,,,,194.4500,,,0.0000,3117.0000,,,849.0500,,1.3500,,,SSE PLC
103342,3,GBP,4,2021,2022-03-31,,,,,45.4000,61.3000,,538.3000,145.3000,,,,,,,,,,,1273.6000,,,,,,-550.9000,,3501.5000,,,666.1000,,,,,,,711.5000,711.5000,,,,917.8000,557.3000,-28.7000,,109.8000,,,,,11.2000,-1433.9000,,,,,-1474.6000,,,,,,,,5178.1000,2599.4000,,2599.4000,2548.7000,83.0000,,,,182.2000,30.7000,,,,-96.5000,,,-24.4000,,,,,,,,-652.8000,,,-744.9000,,,,,,,,-454.0000,,,,50.7000,,,,,,320.6000,151.6000,,,1627.9000,3330.6000,4042.1000,,71.4000,,3482.2000,,,,,,,440.1000,,,-625.6000,,8679.6000,,,8608.2000,,1509.0000,325.8000,,58.7000,6.3000,,,,,,,,-91.5000,882.8000,,,,-50.4000,,,,,,,,,,,,392.5000,,,,482.7000,,,0.0000,4637.5000,,,1136.0000,,13.2000,,,SSE PLC
