gvkey,fyr,fqtr,fyearq,datadate,accdq,accoq,acoq,acoxq,actq,adpacq,amq,ancq,aoq,aotq,apoq,apq,artfsq,atq,autxrq,bcefq,bctq,bdiq,capcstq,capr1q,capr2q,capr3q,capsq,caq,ceqq,cfbdq,cfereq,cfoq,cfpdoq,cheq,chq,chsq,cltq,cogsq,cstkq,dfpacq,dfxaq,ditq,dlcq,dlttq,dpactq,dpq,dptbq,dptcq,dvpdpq,dvrreq,dvtq,eqrtq,eroq,esubq,fcaq,feaq,felq,gdwlamq,gdwlq,gpq,iatiq,ibkiq,ibmiiq,ibq,iditq,iireq,iitq,intanq,intcq,invtq,iobdq,ioiq,ioreq,ipq,iptiq,isgtq,istq,ivaeqq,ivaoq,iviq,ivptq,ivstq,ivtfsq,lcabgq,lcacuq,lcoq,lcoxq,lctq,lltq,loq,lseq,lsq,ltmibq,ltq,mibnq,mibq,mibtq,miiq,mtlq,nitq,nopioq,nopiq,oiadpq,oibdpq,oproq,pclq,piq,ppentq,prcq,pstkq,ptranq,pvoq,pvtq,ratiq,rawmsmq,reccoq,rectoq,rectq,rectrq,reitq,req,revtq,risq,rltq,rvlrvq,rvtiq,rvutxq,saaq,saleq,salq,sbdcq,scoq,scq,sctq,seqq,spiq,ssnpq,stkchq,tdsgq,tdstq,teqq,transaq,tstkq,txdbq,txtq,unnpq,xagtq,xbdtq,xcomiq,xcomq,xdvreq,xintq,xioq,xiq,xiviq,xivreq,xobdq,xoiq,xoproq,xoprq,xoreq,xppq,xretq,xsgaq,xsq,xstoq,xstq,xtq,cik
318456,12,1,2020,31/03/2020,,,1120.0000,1120.0000,4865.0000,,,19543.0000,2036.0000,,,829.0000,,24408.0000,,,,,,,,,3137.0000,,3382.0000,,,,,3058.0000,,,,,3.0000,,164.0000,,912.0000,14184.0000,,164.0000,,,,,,242.0000,142.0000,-5.0000,,,,,25.0000,630.0000,,,299.0000,235.0000,11.0000,,,254.0000,,,,,,,,,,731.0000,0.0000,,,,,,,1545.0000,1545.0000,3286.0000,17063.0000,2345.0000,24408.0000,,20349.0000,20349.0000,677.0000,,677.0000,64.0000,,,298.0000,67.0000,343.0000,507.0000,,,410.0000,17507.0000,,,,,,,,,,687.0000,687.0000,,100.0000,630.0000,,,,,,,630.0000,,,,,3.0000,3382.0000,-11.0000,,,,,4059.0000,,,534.0000,111.0000,,,,,,,237.0000,,,,,,,69.0000,123.0000,,,,54.0000,,,54.0000,,
318456,12,2,2020,30/06/2020,,,837.0000,837.0000,5670.0000,,,18632.0000,1844.0000,,,867.0000,,24302.0000,,,,,,,,,5075.0000,,5051.0000,,,,,4069.0000,,,,,3.0000,,203.0000,,1315.0000,12622.0000,,203.0000,,,,,,-27.0000,-64.0000,3.0000,,,,,25.0000,722.0000,,,-81.0000,-98.0000,13.0000,,,245.0000,,,,,,,,,,674.0000,0.0000,,,,,,,1041.0000,1041.0000,3223.0000,15381.0000,2410.0000,24302.0000,,18604.0000,18604.0000,647.0000,,647.0000,17.0000,,,-176.0000,-451.0000,374.0000,577.0000,,,-77.0000,16788.0000,,,,,,,,,,764.0000,764.0000,,37.0000,722.0000,,,,,,,722.0000,,,,,3.0000,5051.0000,,,,,,5698.0000,,,349.0000,4.0000,,,,,,,291.0000,,,,,,,86.0000,145.0000,,,,59.0000,,,59.0000,,
318456,12,3,2020,30/09/2020,,,672.0000,672.0000,5455.0000,,,18464.0000,1818.0000,,,806.0000,,23919.0000,,,,,,,,,5078.0000,,4853.0000,,,,,4002.0000,,,,,3.0000,,195.0000,,1545.0000,12202.0000,,195.0000,,,,,,-228.0000,-78.0000,-7.0000,,,,,25.0000,731.0000,,,-24.0000,-57.0000,10.0000,,,239.0000,,,,,,,,,,651.0000,0.0000,,,,,,,1082.0000,1082.0000,3433.0000,15001.0000,2445.0000,23919.0000,,18434.0000,18434.0000,632.0000,,632.0000,33.0000,,,-81.0000,-339.0000,349.0000,544.0000,,,10.0000,16646.0000,,,,,,,,,,781.0000,781.0000,,-150.0000,731.0000,,,,,,,731.0000,,,,,3.0000,4853.0000,,,,,,5485.0000,,,354.0000,34.0000,,,,,,,261.0000,,,,,,,116.0000,187.0000,,,,71.0000,,,71.0000,,
318456,12,4,2020,31/12/2020,522.0000,,18.0000,18.0000,9074.0000,,2.0000,17589.0000,1518.0000,,,760.0000,,26663.0000,,,,,,,,,9720.0000,,8795.0000,,,,,7788.0000,,,,,4.0000,,193.0000,,1696.0000,12294.0000,2301.0000,195.0000,,,,,173.0000,-929.0000,-221.0000,-8.0000,,,,,25.0000,688.0000,,,-561.0000,-558.0000,14.0000,,,40.0000,,,,,,,,,,612.0000,47.0000,,,,,,,1039.0000,517.0000,3495.0000,13700.0000,1201.0000,26663.0000,,17195.0000,17195.0000,673.0000,,673.0000,-3.0000,,,-508.0000,-844.0000,263.0000,458.0000,,,-581.0000,16071.0000,,,,,,,,645.0000,645.0000,1268.0000,623.0000,,-708.0000,688.0000,,,,,,,688.0000,,,,,4.0000,8795.0000,-11.0000,,,,,9468.0000,,,205.0000,-20.0000,,,,,,,342.0000,,,,,,,10.0000,230.0000,,,,220.0000,,,78.0000,,
318456,12,1,2021,31/03/2021,,,895.0000,895.0000,6369.0000,,,27184.0000,11259.0000,,,748.0000,,33553.0000,,,,,,,,,9767.0000,,8926.0000,,,,,4783.0000,,,,,4.0000,,187.0000,,1880.0000,17647.0000,,187.0000,,,,,,-845.0000,-154.0000,138.0000,,,,,239.0000,693.0000,,,42.0000,18.0000,12.0000,,,630.0000,,,,,,,,,,9750.0000,0.0000,,,,,,,1528.0000,1528.0000,4156.0000,19759.0000,1864.0000,33553.0000,,23915.0000,23915.0000,712.0000,,712.0000,24.0000,,,-18.0000,-205.0000,306.0000,493.0000,,,101.0000,15925.0000,,,,,,,,,,691.0000,691.0000,,-691.0000,693.0000,,,,,,,693.0000,,,,,4.0000,8926.0000,,,,,,9638.0000,,,248.0000,59.0000,,,,,,,337.0000,,,,,,,118.0000,200.0000,,,,82.0000,,,82.0000,,
318456,12,2,2021,30/06/2021,,,895.0000,895.0000,5751.0000,,,27462.0000,11396.0000,,,112.0000,,33213.0000,,,,,,,,,9824.0000,,9006.0000,,,,,4192.0000,,,,,4.0000,,200.0000,,1515.0000,18686.0000,,200.0000,,,,,,-822.0000,-116.0000,138.0000,,,,,240.0000,736.0000,,,110.0000,93.0000,4.0000,,,635.0000,,,,,,,,,,9795.0000,0.0000,,,,,,,853.0000,853.0000,2480.0000,21052.0000,1848.0000,33213.0000,,23532.0000,23532.0000,675.0000,,675.0000,17.0000,,,26.0000,-141.0000,332.0000,532.0000,,,191.0000,16066.0000,,,,,,,,,,664.0000,664.0000,,-706.0000,736.0000,,,,,,,736.0000,,,,,4.0000,9006.0000,,,,,,9681.0000,,,518.0000,81.0000,,,,,,,309.0000,,,,,,,104.0000,204.0000,,,,100.0000,,,100.0000,,
318456,12,3,2021,30/09/2021,,,857.0000,857.0000,6012.0000,,,27335.0000,11299.0000,,,101.0000,,33347.0000,,,,,,,,,9775.0000,,8991.0000,,,,,4332.0000,,,,,4.0000,,268.0000,,1576.0000,18699.0000,,268.0000,,,,,,-788.0000,-143.0000,212.0000,,,,,245.0000,847.0000,,,169.0000,131.0000,8.0000,,,637.0000,,,,,,,,,,9665.0000,0.0000,,,,,,,928.0000,928.0000,2605.0000,21055.0000,1807.0000,33347.0000,,23660.0000,23660.0000,696.0000,,696.0000,38.0000,,,-12.0000,-117.0000,347.0000,615.0000,1.0000,,230.0000,16036.0000,,,,,,,,,,823.0000,823.0000,,-645.0000,847.0000,,,,,,,846.0000,,,,,4.0000,8991.0000,,,,,,9687.0000,,,549.0000,61.0000,,,,,,,325.0000,,,,,,,134.0000,232.0000,,,,98.0000,,,98.0000,,
318456,12,4,2021,31/12/2021,269.0000,,21.0000,21.0000,5645.0000,,11.0000,27385.0000,11500.0000,,,812.0000,,33030.0000,,,,,,,,,9775.0000,,9270.0000,,,,,4171.0000,,,,,4.0000,,181.0000,,1186.0000,18788.0000,3152.0000,192.0000,,,,,404.0000,-509.0000,-16.0000,276.0000,,,,,321.0000,798.0000,,,135.0000,146.0000,11.0000,,,797.0000,,,,,,,,,,9745.0000,59.0000,,,,,,,915.0000,646.0000,2913.0000,20198.0000,821.0000,33030.0000,,23111.0000,23111.0000,649.0000,,649.0000,-11.0000,,,-43.0000,-44.0000,282.0000,474.0000,36.0000,,238.0000,15885.0000,,,,,,,,713.0000,713.0000,1453.0000,740.0000,,-493.0000,798.0000,,,,,,,762.0000,,,,,4.0000,9270.0000,-20.0000,,,,,9919.0000,,,589.0000,103.0000,,,,,,,288.0000,,,,,,,25.0000,324.0000,,,,299.0000,,,117.0000,,
318456,12,1,2022,31/03/2022,,,654.0000,654.0000,5474.0000,,,26284.0000,11279.0000,,,81.0000,,31758.0000,,,,,,,,,9791.0000,,8140.0000,,,,,4186.0000,,,,,4.0000,,217.0000,,2346.0000,17764.0000,,217.0000,,,,,,-1655.0000,-30.0000,35.0000,,,,,,724.0000,,,-1062.0000,-1133.0000,16.0000,,,699.0000,,,,,,,,,,9535.0000,0.0000,,,,,,,958.0000,958.0000,3385.0000,19819.0000,1408.0000,31758.0000,,23204.0000,23204.0000,414.0000,,414.0000,71.0000,,,-935.0000,-1194.0000,182.0000,399.0000,,,-1012.0000,15005.0000,,,,,,,,,,634.0000,634.0000,,-1625.0000,724.0000,,,,,,,724.0000,,,,,4.0000,8140.0000,-932.0000,,,,,8554.0000,,,647.0000,50.0000,,,,,,,310.0000,,,,,,,208.0000,325.0000,,,,117.0000,,,117.0000,,
318456,12,2,2022,30/06/2022,,,682.0000,682.0000,5205.0000,,,28814.0000,12485.0000,,,820.0000,,34019.0000,,,,,,,,,9801.0000,,8470.0000,,,,,3784.0000,,,,,4.0000,,211.0000,,1807.0000,19212.0000,,211.0000,,,,,,-1335.0000,792.0000,116.0000,,,,,,720.0000,,,-68.0000,-97.0000,22.0000,,,759.0000,,,,,,,,,,10480.0000,0.0000,,,,,,,903.0000,903.0000,3530.0000,21453.0000,1512.0000,34019.0000,,24983.0000,24983.0000,566.0000,,566.0000,29.0000,,,-76.0000,-264.0000,220.0000,431.0000,,,-44.0000,16329.0000,,,,,,,,,,739.0000,739.0000,,-2127.0000,720.0000,,,,,,,720.0000,,,,,4.0000,8470.0000,,,,,,9036.0000,,,729.0000,24.0000,,,,,,,326.0000,,,,,,,150.0000,289.0000,,,,139.0000,,,139.0000,,
