gvkey,iid,datadate,conm,curcdd,cshoc,prccd,prchd,prcld,curcddv,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divsp,divspgross,divspnet,divsptm,anncdate,divdpaydate,divsppaydate,paydate,recorddate
103342,01W,2022-01-03,SSE PLC,GBP,1065831345,16.49000000,,,,,,,,,,,,,,,,,,,
103342,01W,2022-01-04,SSE PLC,GBP,1065831345,16.64000000,16.84500000,16.50500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-05,SSE PLC,GBP,1065831345,16.43500000,16.61500000,16.42500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-06,SSE PLC,GBP,1065831345,16.25000000,16.45500000,16.20000000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-07,SSE PLC,GBP,1065831345,16.34000000,16.44775000,16.24000000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-10,SSE PLC,GBP,1065831345,16.38500000,16.49500000,16.26500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-11,SSE PLC,GBP,1065831345,16.22500000,16.48445200,16.19500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-12,SSE PLC,GBP,1065831345,16.10000000,16.25500000,16.00625000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-13,SSE PLC,GBP,1065831345,15.88500000,15.99000000,15.79000000,GBP,0.2550,0.2550,0.2550,0.2550,UB,0.2550,0.2550,,,,,2021-09-29,2022-03-10,,2022-03-10,2022-01-14
103342,01W,2022-01-14,SSE PLC,GBP,1065831345,15.76500000,15.93500000,15.76000000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-17,SSE PLC,GBP,1065831345,15.83000000,15.93000000,15.77500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-18,SSE PLC,GBP,1065831345,15.78500000,15.81500000,15.66500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-19,SSE PLC,GBP,1065831345,15.67500000,15.75000000,15.53500000,,,,,,,,,,,,,,,,,
103342,01W,2022-01-20,SSE PLC,GBP,1065831345,15.85500000,15.86500000,15.70000000,,,,,,,,,,,,,,,,,
