Effect date,Internal code,ISIN code,Symbol,Instrument name,MIC,CurrencyCode,Previous Close Price,Open Price,Open Price Time,High Price,High Price Time,Low Price,Low Price Time,Close Price,Close Price Time,filename,date_inserted,Exchange Name,Instrument Type,PriceUnit,Trading Group,ID
2022-05-06,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,,2927.2,0 days 09:00:02,2927.2,0 days 09:00:02,2843.28,0 days 16:13:30,2858.51,0 days 18:05:02,EuronextIndices-EOD-20220506.csv.zip,2023-01-05,Oslo,index,,86,34273
2022-05-09,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2858.51,2858.51,0 days 09:00:02,2858.51,0 days 09:00:02,2789.16,0 days 16:25:30,2789.16,0 days 18:05:02,EuronextIndices-EOD-20220509.csv.zip,2023-01-05,Oslo,index,,86,34639
2022-05-10,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2789.16,2789.28,0 days 09:00:02,2799.43,0 days 16:00:00,2738.17,0 days 09:15:45,2787.28,0 days 18:05:02,EuronextIndices-EOD-20220510.csv.zip,2023-01-05,Oslo,index,,86,34685
2022-05-11,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2787.28,2809.73,0 days 09:00:02,2815.63,0 days 13:51:45,2774.36,0 days 09:32:30,2809.55,0 days 18:05:02,EuronextIndices-EOD-20220511.csv.zip,2023-01-05,Oslo,index,,86,26038
2022-05-12,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2809.55,2817.59,0 days 09:00:03,2817.59,0 days 09:00:03,2742.29,0 days 09:22:15,2787.78,0 days 18:05:01,EuronextIndices-EOD-20220512.csv.zip,2023-01-05,Oslo,index,,86,34764
2022-05-13,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2787.78,2788.6,0 days 09:00:02,2861.79,0 days 16:25:30,2788.6,0 days 09:00:02,2861.61,0 days 18:05:02,EuronextIndices-EOD-20220513.csv.zip,2023-01-05,Oslo,index,,86,26139
2022-05-16,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2861.61,2864.38,0 days 09:00:04,2882.32,0 days 16:13:00,2856.62,0 days 09:07:30,2877.5,0 days 18:05:02,EuronextIndices-EOD-20220516.csv.zip,2023-01-05,Oslo,index,,86,34843
2022-05-18,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2877.5,2878.13,0 days 09:00:02,2923.66,0 days 09:04:00,2878.13,0 days 09:00:02,2899.45,0 days 18:05:02,EuronextIndices-EOD-20220518.csv.zip,2023-01-05,Oslo,index,,86,26233
2022-05-19,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2899.45,2899.13,0 days 09:00:02,2899.13,0 days 09:00:02,2842.2,0 days 11:41:45,2877.82,0 days 18:05:02,EuronextIndices-EOD-20220519.csv.zip,2023-01-05,Oslo,index,,86,34932
2022-05-20,2687939,NO0012513474,OBXES,OBX ESG,XOSL,NOK,2877.82,2881.05,0 days 09:00:03,2924.44,0 days 15:27:30,2881.05,0 days 09:00:03,2914.87,0 days 18:05:02,EuronextIndices-EOD-20220520.csv.zip,2023-01-05,Oslo,index,,86,26638
