parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,1330.5660350224862,170067,1340.9631800483503,-0.7753490312455288
mu_0,0.023439084126767068,0.025782992539443775,1385.0284542744466,176112,1340.9631800483503,3.2860912873467187
mu_mean,0.0075,0.00825,1457.26645456811,154265,1340.9631800483503,8.67311468727771
sigma_0,0.1451906623264087,0.15970972855904958,1329.7763487803,175170,1340.9631800483503,-0.8342385111310064
sigma_mean,0.05,0.05500000000000001,1439.6982272361565,148269,1340.9631800483503,7.362994648685746
eta_0,0.03,0.033,1472.7534012242454,203418,1340.9631800483503,9.828026834498411
phi_0,0.06906491431177234,0.07597140574294957,1601.2304979029127,114253,1340.9631800483503,19.408983164263923
phi_mean,0.03453245715588617,0.037985702871474784,1543.0045555418828,99849,1340.9631800483503,15.066884646769171
lambda_R,-0.0025658346912662937,-0.0028224181603929235,1339.4467755956211,183538,1340.9631800483503,-0.11308322818188579
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,1339.571207239569,183491,1340.9631800483503,-0.10380395446287032
lambda_gamma,0.0003337782005807283,0.00036715602063880115,1323.316769207549,186142,1340.9631800483503,-1.3159504379654214
kappa_mu,0.09,0.099,1069.9747014737982,161226,1340.9631800483503,-20.208495103107996
kappa_eta,0.0299573227355399,0.032953055009093894,1165.9547509785089,194653,1340.9631800483503,-13.0509496214155
kappa_sigma,0.0299573227355399,0.032953055009093894,1274.4328106267085,206155,1340.9631800483503,-4.961386741375178
kappa_gamma,0.0299573227355399,0.032953055009093894,1639.4048566832953,88978,1340.9631800483503,22.255769664323243
kappa_phi,0.0299573227355399,0.032953055009093894,1193.505077982501,235477,1340.9631800483503,-10.996431837937003
kappa_capex,0.0299573227355399,0.032953055009093894,1345.6429137087716,160145,1340.9631800483503,0.3489830093808094
financing_cost,0.05,0.05500000000000001,1348.3665551648455,181139,1340.9631800483503,0.5520938402073268
financing_grid,[ 0.  5. 10. 20. 40.],[ 0.   5.5 11.  22.  44. ],1262.8316179139433,196406,1340.9631800483503,-5.826525537531153
M,10,11.0,1536.6351929118828,139527,1340.9631800483503,14.591900491740365
