Name,ISIN,companyID,OrganizationID,Year,description,desc_simpl_en,desc_simpl_no,account_number,account_type,Value,CorporateAccountValue,CompanyAccountValue,source,Corporation,ID
NEL,NO0010081235,7795,979938799,1998,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-5000.0,,-5000.0,Brønnøysund,0,140955
NEL,NO0010081235,7795,979938799,1998,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,1000.0,,1000.0,Brønnøysund,0,140956
NEL,NO0010081235,7795,979938799,1998,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,5000.0,,5000.0,Brønnøysund,0,140957
NEL,NO0010081235,7795,979938799,1998,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,46000.0,,46000.0,Brønnøysund,0,140958
NEL,NO0010081235,7795,979938799,1998,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,21000.0,,21000.0,Brønnøysund,0,140959
NEL,NO0010081235,7795,979938799,1998,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-4000.0,,-4000.0,Brønnøysund,0,140960
NEL,NO0010081235,7795,979938799,1998,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,25000.0,,25000.0,Brønnøysund,0,161799
NEL,NO0010081235,7795,979938799,1998,Andre omløpsmidler,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161798
NEL,NO0010081235,7795,979938799,1998,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,46000.0,,46000.0,Brønnøysund,0,161800
NEL,NO0010081235,7795,979938799,1998,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,46000.0,,46000.0,Brønnøysund,0,161801
NEL,NO0010081235,7795,979938799,1999,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,2000.0,,2000.0,Brønnøysund,0,140961
NEL,NO0010081235,7795,979938799,1999,Sum annen renteinntekt,Interest income,Renteinntekter,229,RESULTATREGNSKAP,2000.0,,2000.0,Brønnøysund,0,140962
NEL,NO0010081235,7795,979938799,1999,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,72000.0,,72000.0,Brønnøysund,0,140963
NEL,NO0010081235,7795,979938799,1999,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,76000.0,,76000.0,Brønnøysund,0,140964
NEL,NO0010081235,7795,979938799,1999,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,146000.0,,146000.0,Brønnøysund,0,140965
NEL,NO0010081235,7795,979938799,1999,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,69000.0,,69000.0,Brønnøysund,0,140966
NEL,NO0010081235,7795,979938799,1999,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,1000.0,,1000.0,Brønnøysund,0,140967
NEL,NO0010081235,7795,979938799,1999,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-20000.0,,-20000.0,Brønnøysund,0,140968
NEL,NO0010081235,7795,979938799,1999,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-22000.0,,-22000.0,Brønnøysund,0,161803
NEL,NO0010081235,7795,979938799,1999,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,68000.0,,68000.0,Brønnøysund,0,161807
NEL,NO0010081235,7795,979938799,1999,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,50000.0,,50000.0,Brønnøysund,0,161804
NEL,NO0010081235,7795,979938799,1999,Andre omløpsmidler,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161802
NEL,NO0010081235,7795,979938799,1999,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,146000.0,,146000.0,Brønnøysund,0,161808
NEL,NO0010081235,7795,979938799,1999,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161809
NEL,NO0010081235,7795,979938799,1999,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,76000.0,,76000.0,Brønnøysund,0,161806
NEL,NO0010081235,7795,979938799,1999,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,145000.0,,145000.0,Brønnøysund,0,161805
NEL,NO0010081235,7795,979938799,2000,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,0.0,,0.0,Brønnøysund,0,140973
NEL,NO0010081235,7795,979938799,2000,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,2204000.0,,2204000.0,Brønnøysund,0,140974
NEL,NO0010081235,7795,979938799,2000,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,5002000.0,,5002000.0,Brønnøysund,0,140975
NEL,NO0010081235,7795,979938799,2000,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,155000.0,,155000.0,Brønnøysund,0,140976
NEL,NO0010081235,7795,979938799,2000,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,155000.0,,155000.0,Brønnøysund,0,140977
NEL,NO0010081235,7795,979938799,2000,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,4962000.0,,4962000.0,Brønnøysund,0,140978
NEL,NO0010081235,7795,979938799,2000,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,3150000.0,,3150000.0,Brønnøysund,0,140979
NEL,NO0010081235,7795,979938799,2000,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140980
NEL,NO0010081235,7795,979938799,2000,Andre omløpsmidler,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140969
NEL,NO0010081235,7795,979938799,2000,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-2204000.0,,-2204000.0,Brønnøysund,0,140970
NEL,NO0010081235,7795,979938799,2000,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,40000.0,,40000.0,Brønnøysund,0,161810
NEL,NO0010081235,7795,979938799,2000,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,4847000.0,,4847000.0,Brønnøysund,0,161812
NEL,NO0010081235,7795,979938799,2000,Sum fordringer,Other short-term receivables,Andre kortsiktige fordringer,304,BALANSEREGNSKAP,6000.0,,6000.0,Brønnøysund,0,161814
NEL,NO0010081235,7795,979938799,2000,Sum annen rentekostnad,Interest expenses,Rentekostnader,543,RESULTATREGNSKAP,0.0,,0.0,Brønnøysund,0,161811
NEL,NO0010081235,7795,979938799,2000,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,5002000.0,,5002000.0,Brønnøysund,0,161813
NEL,NO0010081235,7795,979938799,2000,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,40000.0,,40000.0,Brønnøysund,0,140971
NEL,NO0010081235,7795,979938799,2000,Sum annen renteinntekt,Interest income,Renteinntekter,229,RESULTATREGNSKAP,40000.0,,40000.0,Brønnøysund,0,140972
NEL,NO0010081235,7795,979938799,2000,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-2164000.0,,-2164000.0,Brønnøysund,0,161818
NEL,NO0010081235,7795,979938799,2000,Sum varige driftsmidler,Fixed assets,Varige driftsmidler,332,BALANSEREGNSKAP,40000.0,,40000.0,Brønnøysund,0,161817
NEL,NO0010081235,7795,979938799,2000,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161816
NEL,NO0010081235,7795,979938799,2000,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,1697000.0,,1697000.0,Brønnøysund,0,161815
NEL,NO0010081235,7795,979938799,2001,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,16340000.0,,16340000.0,Brønnøysund,0,161824
